Target_ID,Transaction_ID,Target_Amount,Amount,Description
47.0,4303,1500000.0,1500000.0,Invoice SIVI24-01062
54.0,4032,5473217.0,5473217.0,Invoice SIVI24-00680
77.0,4441,2995679.0,2995679.0,Invoice SIVI24-01103
78.0,4512,3117847.0,3117847.0,Invoice SIVI24-01137
79.0,4571,2991554.0,2991554.0,Invoice SIVI24-01205
80.0,4779,2753882.0,2753882.0,Invoice SIVI24-01442
80.0,5393,2753882.0,2753882.0,Invoice SIVI24-02061
81.0,4505,2128799.0,2128799.0,Invoice SIVI24-01125
100.0,5016,827532.0,827532.0,Invoice SIVI24-01591
103.0,4945,421310.0,421310.0,Invoice SIVI24-01575
103.0,4999,421310.0,421310.0,Invoice SIVI24-01588
105.0,4763,2913990.0,2913990.0,Invoice SIVI24-01438
106.0,4716,9127541.0,9127541.0,Invoice SIVI24-01330
127.0,4651,193.0,193.0,Invoice SIVI24-01322
128.0,4916,5834634.0,5834634.0,Invoice SIVI24-01541
129.0,4946,2945663.0,2945663.0,Invoice SIVI24-01577
131.0,4965,10247567.0,10247567.0,Invoice SIVI24-01580
132.0,3494,9420606.0,9420606.0,Invoice SIVI24-00216
133.0,4759,10479176.0,10479176.0,Invoice SIVI24-01429
134.0,3917,820398.0,820398.0,Invoice SIVI24-00755
135.0,4607,2262530.0,2262530.0,Invoice SIVI24-01207
139.0,4233,22600.0,22600.0,Invoice SIVI24-00918
139.0,4394,22600.0,22600.0,Invoice SIVI24-01085
139.0,4707,22600.0,22600.0,Invoice SIVI24-01389
139.0,5146,22600.0,22600.0,Invoice SIVI24-01782
139.0,5212,22600.0,22600.0,Invoice SIVI24-01805
139.0,5327,22600.0,22600.0,Invoice SIVI24-01964
139.0,5442,22600.0,22600.0,Invoice SIVI24-02053
178.0,344,1100226.0,1100226.0,Customer opening
178.0,819,1100226.0,1100226.0,VAT Opening (Sale) - PBZ-23-06117 - Ádány-Farm Kft
178.0,1204,1100226.0,1100226.0,VAT Opening (Sale) - PBZ-23-06117 - Ádány-Farm Kft
178.0,4904,1100226.0,1100226.0,Invoice SIVI24-01555
181.0,4252,27161338.0,27161338.0,Invoice SIVI24-00810
182.0,4992,8458737.0,8458737.0,Invoice SIVI24-01556
183.0,4925,1993392.0,1993392.0,Invoice SIVI24-01567
184.0,4410,6548374.0,6548374.0,Invoice SIVI24-00980
188.0,5017,49220.5,49220.5,Invoice SIVI24-01633
189.0,4910,22104.0,22104.0,Invoice SIVI24-01607
195.0,2628,5000.0,5000.0,Invoice PBZ-24-00867
211.0,5076,6101563.0,6101563.0,Invoice SIVI24-01685
212.0,4945,421310.0,421310.0,Invoice SIVI24-01575
212.0,4999,421310.0,421310.0,Invoice SIVI24-01588
214.0,4296,1196950.0,1196950.0,Invoice SIVI24-00974
216.0,4809,3010395.0,3010395.0,Invoice SIVI24-01452
217.0,4855,11726210.0,11726210.0,Invoice SIVI24-01428
218.0,4582,2946326.0,2946326.0,Invoice SIVI24-01222
223.0,4084,32213.25,32213.25,Invoice SIVI24-00731
227.0,4233,22600.0,22600.0,Invoice SIVI24-00918
227.0,4394,22600.0,22600.0,Invoice SIVI24-01085
227.0,4707,22600.0,22600.0,Invoice SIVI24-01389
227.0,5146,22600.0,22600.0,Invoice SIVI24-01782
227.0,5212,22600.0,22600.0,Invoice SIVI24-01805
227.0,5327,22600.0,22600.0,Invoice SIVI24-01964
227.0,5442,22600.0,22600.0,Invoice SIVI24-02053
240.0,2462,90000.0,90000.0,Invoice PBZ-24-00874
240.0,2464,90000.0,90000.0,Invoice PBZ-24-00876
240.0,2480,90000.0,90000.0,Order SOHSK24-00026
240.0,5151,90000.0,90000.0,Invoice SIVI24-01854
243.0,2628,5000.0,5000.0,Invoice PBZ-24-00867
244.0,3638,85000.0,85000.0,Invoice SIVI24-00412
245.0,5187,225720.0,225720.0,Invoice SIVI24-01781
254.0,5043,1256690.0,1256690.0,Invoice SIVI24-01705
256.0,4944,2751532.0,2751532.0,Invoice SIVI24-01574
270.0,1903,4950.0,4950.0,Invoice PBZ-24-00246
270.0,1908,4950.0,4950.0,Invoice PBZ-24-00251
270.0,3266,4950.0,4950.0,Invoice SIVI24-00018
270.0,3517,4950.0,4950.0,Invoice SIVI24-00103
270.0,3550,4950.0,4950.0,Invoice SIVI24-00109
270.0,3552,4950.0,4950.0,Invoice SIVI24-00112
270.0,3553,4950.0,4950.0,Invoice SIVI24-00113
283.0,2628,5000.0,5000.0,Invoice PBZ-24-00867
298.0,5037,1902460.0,1902460.0,Invoice SIVI24-01676
299.0,4611,4033393.0,4033393.0,Invoice SIVI24-01217
300.0,4618,2469869.0,2469869.0,Invoice SIVI24-01232
301.0,3721,9348140.0,9348140.0,Invoice SIVI24-00347
302.0,4214,12270045.0,12270045.0,Invoice SIVI24-00817
320.0,4141,1127862.0,1127862.0,Invoice SIVI24-00831
321.0,4013,293294.0,293294.0,Invoice SIVI24-00780
323.0,3870,3320240.0,3320240.0,Invoice SIVI24-00447
324.0,3820,2936190.0,2936190.0,Invoice SIVI24-00430
326.0,3430,7786726.0,7786726.0,Invoice SIVI24-00170
327.0,520,9850209.0,9850209.0,Customer opening
327.0,820,9850209.0,9850209.0,VAT Opening (Sale) - PBZ-23-06001 - Gyermelyi Tojás Kft
327.0,1205,9850209.0,9850209.0,VAT Opening (Sale) - PBZ-23-06001 - Gyermelyi Tojás Kft
327.0,2901,9850209.0,9850209.0,Invoice PBZ-24-01125
327.0,3984,9850209.0,9850209.0,Invoice SIVI24-00772
332.0,416,21672.0,21672.0,Customer opening
332.0,4263,21672.0,21672.0,Invoice SIVI24-00901
357.0,3886,3156976.0,3156976.0,Invoice SIVI24-00489
358.0,3992,2615997.0,2615997.0,Invoice SIVI24-00673
359.0,4036,3005419.0,3005419.0,Invoice SIVI24-00710
361.0,4033,6183125.0,6183125.0,Invoice SIVI24-00694
362.0,3775,3398608.0,3398608.0,Invoice SIVI24-00484
363.0,4254,1929892.0,1929892.0,Invoice SIVI24-00852
366.0,3828,2793187.0,2793187.0,Invoice SIVI24-00448
367.0,3188,2394344.0,2394344.0,Invoice SIVI24-00030
378.0,4482,16950.0,16950.0,Invoice SIVI24-01086
382.0,4481,7125.0,7125.0,Invoice SIVI24-01083
391.0,3886,3156976.0,3156976.0,Invoice SIVI24-00489
392.0,3992,2615997.0,2615997.0,Invoice SIVI24-00673
393.0,4036,3005419.0,3005419.0,Invoice SIVI24-00710
395.0,4033,6183125.0,6183125.0,Invoice SIVI24-00694
396.0,3775,3398608.0,3398608.0,Invoice SIVI24-00484
397.0,4254,1929892.0,1929892.0,Invoice SIVI24-00852
400.0,3828,2793187.0,2793187.0,Invoice SIVI24-00448
401.0,3188,2394344.0,2394344.0,Invoice SIVI24-00030
412.0,4482,16950.0,16950.0,Invoice SIVI24-01086
416.0,4481,7125.0,7125.0,Invoice SIVI24-01083
422.0,3549,895300.0,895300.0,Invoice SIVI24-00785
427.0,4068,2190570.0,2190570.0,Invoice SIVI24-00674
430.0,2759,14679.0,14679.0,Invoice PBZ-24-01022
430.0,2777,14679.0,14679.0,Order SOB6524-00017
432.0,4261,6235.0,6235.0,Invoice SIVI24-00895
455.0,4064,11575669.0,11575669.0,Invoice SIVI24-00664
455.0,4107,11575669.0,11575669.0,Credit Memo SCVI24-00033
455.0,4110,11575669.0,11575669.0,Invoice SIVI24-00800
457.0,3752,2280463.0,2280463.0,Invoice SIVI24-00573
459.0,3716,4900422.0,4900422.0,Invoice SIVI24-00338
462.0,3396,11005.5,11005.5,Invoice SIVI24-00415
466.0,4554,5650.0,5650.0,Invoice SIVI24-01276
478.0,4294,1063092.0,1063092.0,Invoice SIVI24-00978
479.0,4246,16134163.0,16134163.0,Invoice SIVI24-00828
480.0,3994,3027472.0,3027472.0,Invoice SIVI24-00677
481.0,3995,3002355.0,3002355.0,Invoice SIVI24-00681
482.0,3990,2982327.0,2982327.0,Invoice SIVI24-00655
483.0,3991,3044612.0,3044612.0,Invoice SIVI24-00656
484.0,3978,2820467.0,2820467.0,Invoice SIVI24-00689
511.0,4408,6082732.0,6082732.0,Invoice SIVI24-00977
512.0,4195,1766807.0,1766807.0,Invoice SIVI24-00839
513.0,3834,1624584.0,1624584.0,Invoice SIVI24-00471
514.0,4091,2168959.0,2168959.0,Invoice SIVI24-00701
520.0,4388,4446.0,4446.0,Invoice SIVI24-01053
529.0,207,300.0,300.0,Customer opening
529.0,217,300.0,300.0,Customer opening
529.0,219,300.0,300.0,Customer opening
529.0,221,300.0,300.0,Customer opening
529.0,232,300.0,300.0,Customer opening
529.0,237,300.0,300.0,Customer opening
529.0,401,300.0,300.0,Customer opening
529.0,423,300.0,300.0,Customer opening
529.0,424,300.0,300.0,Customer opening
529.0,495,300.0,300.0,Customer opening
529.0,557,300.0,300.0,Customer opening
529.0,570,300.0,300.0,Customer opening
535.0,3822,2868740.0,2868740.0,Invoice SIVI24-00444
536.0,4046,6515329.0,6515329.0,Invoice SIVI24-00672
537.0,3395,2172584.0,2172584.0,Invoice SIVI24-00353
539.0,4316,5543010.0,5543010.0,Invoice SIVI24-00988
543.0,3921,9417876.0,9417876.0,Invoice SIVI24-00771
544.0,4404,14651736.0,14651736.0,Invoice SIVI24-00965
545.0,4158,3012355.0,3012355.0,Invoice SIVI24-00818
546.0,4035,2993036.0,2993036.0,Invoice SIVI24-00699
548.0,2801,9866122.0,9866122.0,Invoice PBZ-24-01100
548.0,3458,9866122.0,9866122.0,Invoice SIVI24-00197
549.0,4373,10429037.0,10429037.0,Invoice SIVI24-01001
550.0,2900,2912466.0,2912466.0,Invoice PBZ-24-01124
553.0,4387,42723.0,42723.0,Invoice SIVI24-01047
557.0,4389,17556.0,17556.0,Invoice SIVI24-01050
560.0,4233,22600.0,22600.0,Invoice SIVI24-00918
560.0,4394,22600.0,22600.0,Invoice SIVI24-01085
560.0,4707,22600.0,22600.0,Invoice SIVI24-01389
560.0,5146,22600.0,22600.0,Invoice SIVI24-01782
560.0,5212,22600.0,22600.0,Invoice SIVI24-01805
560.0,5327,22600.0,22600.0,Invoice SIVI24-01964
560.0,5442,22600.0,22600.0,Invoice SIVI24-02053
593.0,3814,304800.0,304800.0,Invoice SIVI24-00562
594.0,2462,90000.0,90000.0,Invoice PBZ-24-00874
594.0,2464,90000.0,90000.0,Invoice PBZ-24-00876
594.0,2480,90000.0,90000.0,Order SOHSK24-00026
594.0,5151,90000.0,90000.0,Invoice SIVI24-01854
595.0,199,29700.0,29700.0,Customer opening
617.0,2166,203200.0,203200.0,Invoice PBZ-24-00592
617.0,4330,203200.0,203200.0,Invoice SIVI24-01272
617.0,5202,203200.0,203200.0,Invoice SIVI24-01926
637.0,3049,508000.0,508000.0,Invoice PBZ-24-01263
649.0,2462,90000.0,90000.0,Invoice PBZ-24-00874
649.0,2464,90000.0,90000.0,Invoice PBZ-24-00876
649.0,2480,90000.0,90000.0,Order SOHSK24-00026
649.0,5151,90000.0,90000.0,Invoice SIVI24-01854
698.0,2232,195580.0,195580.0,Invoice PBZ-24-00627
698.0,2246,195580.0,195580.0,Credit Memo SCVI24-00009
709.0,3513,7799603.0,7799603.0,Invoice SIVI24-00629
711.0,3481,200505.0,200505.0,Invoice SIVI24-00594
712.0,3825,5691378.0,5691378.0,Invoice SIVI24-00458
735.0,4358,291236.0,291236.0,Invoice SIVI24-01060
736.0,4449,1074318.0,1074318.0,Invoice SIVI24-01111
739.0,4445,10255758.0,10255758.0,Invoice SIVI24-01101
740.0,4157,9868027.0,9868027.0,Invoice SIVI24-00806
743.0,3875,11899265.0,11899265.0,Invoice SIVI24-00470
768.0,4342,5999958.0,5999958.0,Invoice SIVI24-00982
769.0,4376,3020347.0,3020347.0,Invoice SIVI24-01006
770.0,4531,7107913.0,7107913.0,Invoice SIVI24-01112
773.0,4446,10541902.0,10541902.0,Invoice SIVI24-01102
774.0,3708,7387501.0,7387501.0,Invoice SIVI24-00316
775.0,3983,530289.0,530289.0,Invoice SIVI24-00754
779.0,4390,4959.0,4959.0,Invoice SIVI24-01054
829.0,4583,1118362.0,1118362.0,Invoice SIVI24-01236
830.0,4484,2758581.0,2758581.0,Invoice SIVI24-01127
836.0,4349,22321.0,22321.0,Invoice SIVI24-01028
850.0,4825,254000.0,254000.0,Invoice SIVI24-01406
851.0,4826,16129000.0,16129000.0,Invoice SIVI24-01409
852.0,2166,203200.0,203200.0,Invoice PBZ-24-00592
852.0,4330,203200.0,203200.0,Invoice SIVI24-01272
852.0,5202,203200.0,203200.0,Invoice SIVI24-01926
857.0,4374,2665984.0,2665984.0,Invoice SIVI24-01002
860.0,4405,3430273.0,3430273.0,Invoice SIVI24-00968
861.0,3872,10223449.0,10223449.0,Invoice SIVI24-00455
862.0,4414,1068857.0,1068857.0,Invoice SIVI24-01011
870.0,4233,22600.0,22600.0,Invoice SIVI24-00918
870.0,4394,22600.0,22600.0,Invoice SIVI24-01085
870.0,4707,22600.0,22600.0,Invoice SIVI24-01389
870.0,5146,22600.0,22600.0,Invoice SIVI24-01782
870.0,5212,22600.0,22600.0,Invoice SIVI24-01805
870.0,5327,22600.0,22600.0,Invoice SIVI24-01964
870.0,5442,22600.0,22600.0,Invoice SIVI24-02053
889.0,4621,1568577.0,1568577.0,Invoice SIVI24-01238
891.0,4317,3073898.0,3073898.0,Invoice SIVI24-00991
892.0,4295,5999658.0,5999658.0,Invoice SIVI24-00962
893.0,4319,2996167.0,2996167.0,Invoice SIVI24-00963
894.0,4442,10771415.0,10771415.0,Invoice SIVI24-01105
894.0,4762,10771415.0,10771415.0,Invoice SIVI24-01437
901.0,4700,21564.0,21564.0,Invoice SIVI24-01373
922.0,4377,3125211.0,3125211.0,Invoice SIVI24-01007
924.0,4506,3032787.0,3032787.0,Invoice SIVI24-01135
925.0,4378,2971002.0,2971002.0,Invoice SIVI24-01009
926.0,4318,3064007.0,3064007.0,Invoice SIVI24-00992
928.0,4140,10020529.0,10020529.0,Invoice SIVI24-00813
929.0,4291,3278090.0,3278090.0,Invoice SIVI24-00970
957.0,1376,12700.0,12700.0,Invoice PBZ-24-00002
957.0,2334,12700.0,12700.0,Invoice PBZ-24-00587
957.0,4660,12700.0,12700.0,Invoice SIVI24-01278
957.0,5304,12700.0,12700.0,Invoice SIVI24-01928
1078.0,4688,2770330.0,2770330.0,Invoice SIVI24-01335
1079.0,4620,10410650.0,10410650.0,Invoice SIVI24-01237
1084.0,4017,28250.0,28250.0,CONTRACT SCDDG24-00105001
1084.0,4018,28250.0,28250.0,Invoice SIVI24-01084
1084.0,4958,28250.0,28250.0,Invoice SIVI24-01534
1095.0,233,1500.0,1500.0,Customer opening
1095.0,5383,1500.0,1500.0,Invoice SIVI24-02025
1098.0,3156,4556595.0,4556595.0,Invoice PBZ-24-01271
1102.0,4572,2428545.0,2428545.0,Invoice SIVI24-01208
1104.0,3927,4900994.0,4900994.0,Invoice SIVI24-00612
1105.0,4728,8155648.0,8155648.0,Invoice SIVI24-01346
1106.0,4239,3313027.0,3313027.0,Invoice SIVI24-00811
1112.0,4633,68845.0,68845.0,Invoice SIVI24-01260
1113.0,5012,500.0,500.0,Invoice SIVI24-01648
1120.0,4386,91679.0,91679.0,Invoice SIVI24-01044
1146.0,4250,2716530.0,2716530.0,Invoice SIVI24-00851
1147.0,4009,9198856.0,9198856.0,Invoice SIVI24-00687
1148.0,4407,17778184.0,17778184.0,Invoice SIVI24-00976
1149.0,4857,2141728.0,2141728.0,Invoice SIVI24-01447
1150.0,4526,6004272.0,6004272.0,Invoice SIVI24-01095
1151.0,4861,7052968.0,7052968.0,Invoice SIVI24-01461
1168.0,4824,13750.0,13750.0,Invoice SIVI24-01405
1201.0,2628,5000.0,5000.0,Invoice PBZ-24-00867
1202.0,2628,5000.0,5000.0,Invoice PBZ-24-00867
1206.0,4879,292379.0,292379.0,Invoice SIVI24-01524
1209.0,4712,10464368.0,10464368.0,Invoice SIVI24-01323
